file	id	severity	route	family	reason	records	degraded	detail
cover.md	COVER	best-effort	best-effort		typed-lowering-declined	2-3		prose topic rejected: cz off cover carries display text
notices.md	NOTICES	typed	typed	prose	typed	3-4		
edition.md	EDITION	typed	typed	prose	typed	4-6		
contents.md	CONTENTS	typed	typed	generated navigation	typed	6-19		
front_1.md	FRONT_1	typed	typed	prose	typed	19-21		
front_1-1.md	FRONT_1.1	typed	typed	prose	typed	21-22		
front_1-2.md	FRONT_1.2	typed	typed	prose	typed	22-24		
preface.md	PREFACE	typed	typed	prose	typed	24-25		
preface-1.md	PREFACE.1	typed	typed	prose	typed	25-26		
preface-2.md	PREFACE.2	typed	typed	prose	typed	26-28		
preface-2-1.md	PREFACE.2.1	best-effort	best-effort		typed-lowering-declined	28-34		prose topic rejected: cz FLOW DT term '   /L[+|-]' has no definition
preface-2-2.md	PREFACE.2.2	typed	typed	prose	typed	34-35		
preface-3.md	PREFACE.3	typed	typed	prose	typed	35-37		
preface-4.md	PREFACE.4	typed	typed	prose	typed	37-40		
preface-4-1.md	PREFACE.4.1	typed	typed	prose	typed	40-42		
preface-4-2.md	PREFACE.4.2	typed	typed	prose	typed	42-44		
preface-4-3.md	PREFACE.4.3	typed	typed	prose	typed	44-45		
preface-4-4.md	PREFACE.4.4	typed	typed	prose	typed	45-47		
1-1.md	1.1	typed	typed	prose	typed	48-49		
1-1-1.md	1.1.1	typed	typed	prose	typed	49-52		
1-1-2.md	1.1.2	typed	typed	prose	typed	52-54		
1-1-2-1.md	1.1.2.1	typed	typed	prose	typed	54-55		
1-1-2-2.md	1.1.2.2	typed	typed	prose	typed	55-57		
1-1-2-3.md	1.1.2.3	typed	typed	prose	typed	57-58		
1-1-2-4.md	1.1.2.4	typed	typed	prose	typed	58-59		
1-1-3.md	1.1.3	typed	typed	prose	typed	59-60		
1-1-4.md	1.1.4	typed	typed	prose	typed	60-61		
1-1-4-1.md	1.1.4.1	typed	typed	prose	typed	61-62		
1-1-4-2.md	1.1.4.2	typed	typed	prose	typed	62-65		
1-1-4-3.md	1.1.4.3	best-effort	best-effort		typed-lowering-declined	65-104		prose topic rejected: cz flow dt: block has no visible text
1-2.md	1.2	typed	typed	prose	typed	104-106		
1-2-1.md	1.2.1	typed	typed	prose	typed	106-108		
1-2-2.md	1.2.2	typed	typed	prose	typed	108-111		
1-2-3.md	1.2.3	typed	typed	prose	typed	111-113		
1-2-4.md	1.2.4	typed	typed	prose	typed	113-116		
1-2-5.md	1.2.5	typed	typed	prose	typed	116-117		
1-2-6.md	1.2.6	typed	typed	prose	typed	117-118		
1-3.md	1.3	typed	typed	prose	typed	118-119		
1-3-1.md	1.3.1	typed	typed	prose	typed	119-121		
1-3-2.md	1.3.2	typed	typed	prose	typed	121-122		
1-3-2-1.md	1.3.2.1	typed	typed	prose	typed	122-123		
1-3-2-2.md	1.3.2.2	typed	typed	prose	typed	123-129		
1-3-2-3.md	1.3.2.3	typed	typed	prose	typed	129-130		
1-3-3.md	1.3.3	typed	typed	prose	typed	130-131		
1-3-3-1.md	1.3.3.1	typed	typed	prose	typed	131-132		
1-3-3-2.md	1.3.3.2	typed	typed	prose	typed	132-133		
1-3-3-3.md	1.3.3.3	typed	typed	prose	typed	133-134		
1-3-3-4.md	1.3.3.4	typed	typed	prose	typed	134-136		
2-1.md	2.1	typed	typed	prose	typed	137-138		
2-1-1.md	2.1.1	typed	typed	prose	typed	138-142		
2-1-1-1.md	2.1.1.1	typed	typed	prose	typed	142-144		
2-1-1-2.md	2.1.1.2	typed	typed	prose	typed	144-146		
2-1-1-3.md	2.1.1.3	typed	typed	prose	typed	146-149		
2-1-1-4.md	2.1.1.4	typed	typed	prose	typed	149-151		
2-1-1-5.md	2.1.1.5	typed	typed	prose	typed	151-153		
2-1-1-6.md	2.1.1.6	typed	typed	prose	typed	153-157		
2-1-1-7.md	2.1.1.7	typed	typed	prose	typed	157-160		
2-1-2.md	2.1.2	typed	typed	prose	typed	160-161		
2-1-2-1.md	2.1.2.1	typed	typed	prose	typed	161-163		
2-1-2-2.md	2.1.2.2	typed	typed	prose	typed	163-166		
2-1-2-3.md	2.1.2.3	typed	typed	prose	typed	166-168		
2-1-3.md	2.1.3	typed	typed	prose	typed	168-171		
2-1-3-1.md	2.1.3.1	typed	typed	prose	typed	171-175		
2-1-3-2.md	2.1.3.2	typed	typed	prose	typed	175-176		
2-1-3-3.md	2.1.3.3	typed	typed	prose	typed	176-179		
2-1-3-4.md	2.1.3.4	typed	typed	prose	typed	179-182		
2-1-3-5.md	2.1.3.5	typed	typed	prose	typed	182-185		
2-1-3-6.md	2.1.3.6	typed	typed	prose	typed	185-188		
2-2.md	2.2	typed	typed	prose	typed	188-190		
2-2-1.md	2.2.1	typed	typed	prose	typed	190-193		
2-2-1-1.md	2.2.1.1	typed	typed	prose	typed	193-195		
2-2-1-2.md	2.2.1.2	typed	typed	prose	typed	195-199		
2-2-2.md	2.2.2	typed	typed	prose	typed	199-201		
2-2-3.md	2.2.3	typed	typed	prose	typed	201-203		
2-2-3-1.md	2.2.3.1	typed	typed	prose	typed	203-205		
2-2-3-2.md	2.2.3.2	typed	typed	prose	typed	205-207		
2-2-3-3.md	2.2.3.3	typed	typed	prose	typed	207-209		
2-2-4.md	2.2.4	typed	typed	prose	typed	209-212		
2-2-4-1.md	2.2.4.1	typed	typed	prose	typed	212-215		
2-2-4-2.md	2.2.4.2	typed	typed	prose	typed	215-221		
2-2-4-3.md	2.2.4.3	typed	typed	prose	typed	221-223		
2-2-4-4.md	2.2.4.4	typed	typed	prose	typed	223-229		
2-2-4-5.md	2.2.4.5	typed	typed	prose	typed	229-240		
2-2-4-6.md	2.2.4.6	typed	typed	prose	typed	240-245		
2-2-5.md	2.2.5	typed	typed	prose	typed	245-246		
2-2-6.md	2.2.6	typed	typed	prose	typed	246-248		
2-2-6-1.md	2.2.6.1	typed	typed	prose	typed	248-254		
2-3.md	2.3	typed	typed	prose	typed	254-258		
2-3-1.md	2.3.1	typed	typed	prose	typed	258-259		
2-3-1-1.md	2.3.1.1	typed	typed	prose	typed	259-260		
2-3-1-2.md	2.3.1.2	typed	typed	prose	typed	260-261		
2-3-1-3.md	2.3.1.3	typed	typed	prose	typed	261-262		
2-3-1-4.md	2.3.1.4	typed	typed	prose	typed	262-263		
2-3-2.md	2.3.2	typed	typed	prose	typed	263-264		
2-3-3.md	2.3.3	typed	typed	prose	typed	264-265		
2-3-3-1.md	2.3.3.1	typed	typed	prose	typed	265-267		
2-3-4.md	2.3.4	typed	typed	prose	typed	267-268		
2-3-4-1.md	2.3.4.1	typed	typed	prose	typed	268-270		
2-3-4-2.md	2.3.4.2	typed	typed	prose	typed	270-272		
2-3-4-3.md	2.3.4.3	typed	typed	prose	typed	272-273		
2-3-4-4.md	2.3.4.4	typed	typed	prose	typed	273-274		
2-3-5.md	2.3.5	typed	typed	prose	typed	274-275		
2-3-5-1.md	2.3.5.1	typed	typed	prose	typed	275-278		
2-3-6.md	2.3.6	typed	typed	prose	typed	278-279		
2-3-6-1.md	2.3.6.1	typed	typed	prose	typed	279-281		
2-3-6-2.md	2.3.6.2	typed	typed	prose	typed	281-283		
2-3-6-3.md	2.3.6.3	typed	typed	prose	typed	283-284		
2-3-6-4.md	2.3.6.4	typed	typed	prose	typed	284-288		
2-3-6-5.md	2.3.6.5	typed	typed	prose	typed	288-289		
2-3-6-6.md	2.3.6.6	typed	typed	prose	typed	289-290		
2-3-6-7.md	2.3.6.7	typed	typed	prose	typed	290-292		
2-3-6-8.md	2.3.6.8	typed	typed	prose	typed	292-293		
2-3-6-9.md	2.3.6.9	typed	typed	prose	typed	293-294		
2-3-6-10.md	2.3.6.10	typed	typed	prose	typed	294-295		
2-3-7.md	2.3.7	typed	typed	prose	typed	295-296		
2-3-7-1.md	2.3.7.1	typed	typed	prose	typed	296-297		
2-3-7-2.md	2.3.7.2	typed	typed	prose	typed	297-305		
2-3-7-3.md	2.3.7.3	typed	typed	prose	typed	305-307		
2-3-8.md	2.3.8	typed	typed	prose	typed	307-308		
2-3-9.md	2.3.9	typed	typed	prose	typed	308-309		
2-3-9-1.md	2.3.9.1	typed	typed	prose	typed	309-313		
2-3-9-2.md	2.3.9.2	typed	typed	prose	typed	313-314		
2-3-9-3.md	2.3.9.3	typed	typed	prose	typed	314-317		
2-3-9-4.md	2.3.9.4	typed	typed	prose	typed	317-324		
2-3-10.md	2.3.10	typed	typed	prose	typed	324-325		
2-3-10-1.md	2.3.10.1	typed	typed	prose	typed	325-326		
2-3-10-2.md	2.3.10.2	typed	typed	prose	typed	326-327		
2-3-11.md	2.3.11	typed	typed	prose	typed	327-328		
2-3-11-1.md	2.3.11.1	typed	typed	prose	typed	328-329		
2-3-11-2.md	2.3.11.2	typed	typed	prose	typed	329-331		
2-3-12.md	2.3.12	typed	typed	prose	typed	331-332		
2-3-12-1.md	2.3.12.1	typed	typed	prose	typed	332-334		
2-3-12-2.md	2.3.12.2	typed	typed	prose	typed	334-336		
2-3-12-3.md	2.3.12.3	typed	typed	prose	typed	336-338		
2-3-13.md	2.3.13	typed	typed	prose	typed	338-340		
3-1.md	3.1	typed	typed	prose	typed	342-344		
3-1-1.md	3.1.1	typed	typed	prose	typed	344-347		
3-1-1-1.md	3.1.1.1	typed	typed	prose	typed	347-348		
3-1-1-2.md	3.1.1.2	typed	typed	prose	typed	348-355		
3-1-2.md	3.1.2	typed	typed	prose	typed	355-356		
3-1-2-1.md	3.1.2.1	typed	typed	prose	typed	356-360		
3-1-2-2.md	3.1.2.2	typed	typed	prose	typed	360-364		
3-1-2-3.md	3.1.2.3	typed	typed	prose	typed	364-366		
3-1-3.md	3.1.3	typed	typed	prose	typed	366-367		
3-1-3-1.md	3.1.3.1	typed	typed	prose	typed	367-369		
3-1-3-2.md	3.1.3.2	typed	typed	prose	typed	369-373		
3-1-3-3.md	3.1.3.3	typed	typed	prose	typed	373-376		
3-1-3-4.md	3.1.3.4	typed	typed	prose	typed	376-380		
3-1-3-5.md	3.1.3.5	typed	typed	prose	typed	380-387		
3-1-3-6.md	3.1.3.6	typed	typed	prose	typed	387-394		
3-1-4.md	3.1.4	typed	typed	prose	typed	394-396		
3-1-4-1.md	3.1.4.1	typed	typed	prose	typed	396-398		
3-1-4-2.md	3.1.4.2	typed	typed	prose	typed	398-402		
3-1-4-3.md	3.1.4.3	typed	typed	prose	typed	402-408		
3-1-4-4.md	3.1.4.4	typed	typed	prose	typed	408-409		
3-1-4-5.md	3.1.4.5	typed	typed	prose	typed	409-417		
3-1-4-6.md	3.1.4.6	typed	typed	prose	typed	417-428		
3-1-5.md	3.1.5	typed	typed	prose	typed	428-439		
3-1-6.md	3.1.6	typed	typed	prose	typed	439-441		
3-1-6-1.md	3.1.6.1	best-effort	best-effort		typed-lowering-declined	441-447		prose topic rejected: selector is malformed
3-1-7.md	3.1.7	typed	typed	prose	typed	447-450		
3-1-8.md	3.1.8	typed	typed	prose	typed	450-489		
3-2.md	3.2	typed	typed	prose	typed	489-491		
3-2-1.md	3.2.1	typed	typed	prose	typed	491-493		
3-2-1-1.md	3.2.1.1	typed	typed	prose	typed	493-497		
3-2-1-2.md	3.2.1.2	typed	typed	prose	typed	497-498		
3-2-1-3.md	3.2.1.3	typed	typed	prose	typed	498-512		
3-2-1-4.md	3.2.1.4	typed	typed	prose	typed	512-513		
3-2-1-5.md	3.2.1.5	typed	typed	prose	typed	513-515		
3-2-1-6.md	3.2.1.6	typed	typed	prose	typed	515-517		
3-2-1-7.md	3.2.1.7	typed	typed	prose	typed	517-521		
3-2-2.md	3.2.2	typed	typed	prose	typed	521-522		
3-2-2-1.md	3.2.2.1	typed	typed	prose	typed	522-525		
3-2-2-2.md	3.2.2.2	typed	typed	prose	typed	525-526		
3-2-2-3.md	3.2.2.3	typed	typed	prose	typed	526-527		
3-2-2-4.md	3.2.2.4	typed	typed	prose	typed	527-528		
3-2-2-5.md	3.2.2.5	typed	typed	prose	typed	528-536		
3-2-3.md	3.2.3	typed	typed	prose	typed	536-551		
3-2-4.md	3.2.4	typed	typed	prose	typed	551-552		
3-3.md	3.3	typed	typed	prose	typed	552-554		
3-3-1.md	3.3.1	typed	typed	prose	typed	554-556		
3-3-1-1.md	3.3.1.1	typed	typed	prose	typed	556-567		
3-3-1-2.md	3.3.1.2	typed	typed	prose	typed	567-569		
3-3-1-3.md	3.3.1.3	typed	typed	prose	typed	569-572		
3-3-1-4.md	3.3.1.4	typed	typed	prose	typed	572-573		
3-3-1-5.md	3.3.1.5	typed	typed	prose	typed	573-574		
3-3-1-6.md	3.3.1.6	typed	typed	prose	typed	574-576		
3-3-1-7.md	3.3.1.7	best-effort	best-effort		typed-lowering-declined	576-595		prose topic rejected: topic carries a second ST control
3-3-1-8.md	3.3.1.8	typed	typed	prose	typed	595-603		
3-3-1-9.md	3.3.1.9	typed	typed	prose	typed	603-621		
3-3-1-10.md	3.3.1.10	typed	typed	prose	typed	621-628		
3-3-2.md	3.3.2	typed	typed	prose	typed	628-630		
3-3-2-1.md	3.3.2.1	typed	typed	prose	typed	630-632		
3-3-2-2.md	3.3.2.2	typed	typed	prose	typed	632-633		
3-3-2-3.md	3.3.2.3	typed	typed	prose	typed	633-645		
3-3-2-4.md	3.3.2.4	typed	typed	prose	typed	645-646		
3-3-2-5.md	3.3.2.5	typed	typed	prose	typed	646-649		
3-3-2-6.md	3.3.2.6	typed	typed	prose	typed	649-650		
3-3-2-7.md	3.3.2.7	typed	typed	prose	typed	650-651		
3-3-3.md	3.3.3	typed	typed	prose	typed	651-652		
3-4.md	3.4	typed	typed	prose	typed	652-655		
3-4-1.md	3.4.1	typed	typed	prose	typed	655-657		
3-4-2.md	3.4.2	typed	typed	prose	typed	657-659		
3-4-3.md	3.4.3	typed	typed	prose	typed	659-661		
3-4-4.md	3.4.4	typed	typed	prose	typed	661-676		
3-4-5.md	3.4.5	typed	typed	prose	typed	676-684		
3-5.md	3.5	typed	typed	prose	typed	684-686		
3-5-1.md	3.5.1	typed	typed	prose	typed	686-688		
3-5-2.md	3.5.2	typed	typed	prose	typed	688-689		
3-5-3.md	3.5.3	typed	typed	prose	typed	689-690		
3-5-4.md	3.5.4	typed	typed	prose	typed	690-692		
3-5-5.md	3.5.5	typed	typed	prose	typed	692-694		
3-5-5-1.md	3.5.5.1	typed	typed	prose	typed	694-696		
3-5-5-2.md	3.5.5.2	typed	typed	prose	typed	696-699		
3-5-6.md	3.5.6	typed	typed	prose	typed	699-701		
4-1.md	4.1	typed	typed	prose	typed	704-707		
4-1-1.md	4.1.1	typed	typed	prose	typed	707-709		
4-1-1-1.md	4.1.1.1	typed	typed	prose	typed	709-710		
4-1-1-2.md	4.1.1.2	typed	typed	prose	typed	710-712		
4-1-1-3.md	4.1.1.3	typed	typed	prose	typed	712-715		
4-1-2.md	4.1.2	typed	typed	prose	typed	715-718		
4-1-3.md	4.1.3	typed	typed	prose	typed	718-721		
4-1-4.md	4.1.4	typed	typed	prose	typed	721-723		
4-1-4-1.md	4.1.4.1	typed	typed	prose	typed	723-741		
4-1-4-2.md	4.1.4.2	typed	typed	prose	typed	741-745		
4-1-4-3.md	4.1.4.3	typed	typed	prose	typed	745-747		
4-1-4-4.md	4.1.4.4	typed	typed	prose	typed	747-797		
4-1-5.md	4.1.5	typed	typed	prose	typed	797-800		
4-1-6.md	4.1.6	typed	typed	prose	typed	800-801		
4-1-6-1.md	4.1.6.1	typed	typed	prose	typed	801-805		
4-1-6-2.md	4.1.6.2	typed	typed	prose	typed	805-819		
4-1-7.md	4.1.7	typed	typed	prose	typed	819-820		
4-1-8.md	4.1.8	typed	typed	prose	typed	820-821		
4-1-8-1.md	4.1.8.1	typed	typed	prose	typed	821-822		
4-1-8-2.md	4.1.8.2	typed	typed	prose	typed	822-823		
4-1-8-3.md	4.1.8.3	typed	typed	prose	typed	823-824		
4-1-8-4.md	4.1.8.4	typed	typed	prose	typed	824-844		
4-1-8-5.md	4.1.8.5	typed	typed	prose	typed	844-846		
4-1-9.md	4.1.9	typed	typed	prose	typed	846-847		
4-1-9-1.md	4.1.9.1	typed	typed	prose	typed	847-848		
4-1-9-2.md	4.1.9.2	typed	typed	prose	typed	848-850		
4-1-9-3.md	4.1.9.3	typed	typed	prose	typed	850-851		
4-1-9-4.md	4.1.9.4	typed	typed	prose	typed	851-868		
4-1-10.md	4.1.10	typed	typed	prose	typed	868-873		
4-1-11.md	4.1.11	typed	typed	prose	typed	873-879		
4-1-12.md	4.1.12	typed	typed	prose	typed	879-888		
4-1-13.md	4.1.13	typed	typed	prose	typed	888-893		
4-2.md	4.2	typed	typed	prose	typed	893-895		
4-2-1.md	4.2.1	typed	typed	prose	typed	895-898		
4-2-2.md	4.2.2	typed	typed	prose	typed	898-902		
4-2-3.md	4.2.3	typed	typed	prose	typed	902-907		
4-2-4.md	4.2.4	typed	typed	prose	typed	907-908		
4-2-4-1.md	4.2.4.1	typed	typed	prose	typed	908-909		
4-2-4-2.md	4.2.4.2	typed	typed	prose	typed	909-923		
4-2-4-3.md	4.2.4.3	typed	typed	prose	typed	923-926		
4-3.md	4.3	typed	typed	prose	typed	926-928		
4-3-1.md	4.3.1	typed	typed	prose	typed	928-933		
4-3-2.md	4.3.2	typed	typed	prose	typed	933-937		
4-3-2-1.md	4.3.2.1	typed	typed	prose	typed	937-946		
4-3-2-2.md	4.3.2.2	typed	typed	prose	typed	946-950		
4-3-2-3.md	4.3.2.3	typed	typed	prose	typed	950-953		
4-3-3.md	4.3.3	typed	typed	prose	typed	953-959		
4-3-3-1.md	4.3.3.1	typed	typed	prose	typed	959-988		
4-3-3-2.md	4.3.3.2	typed	typed	prose	typed	988-1020		
4-3-3-3.md	4.3.3.3	typed	typed	prose	typed	1020-1035		
4-3-3-4.md	4.3.3.4	typed	typed	prose	typed	1035-1090		
4-3-3-5.md	4.3.3.5	typed	typed	prose	typed	1090-1111		
